surface,fg,surface_oklch,fg_oklch,ratio,verdict,aaa,aa
sumi-950,ink-secondary-on-cream,"oklch(0.180 0.012 220)","oklch(0.380 0.018 85)",1.87,FAIL,no,no
sumi-950,ink-900,"oklch(0.180 0.012 220)","oklch(0.150 0.020 85)",1.05,FAIL,no,no
sumi-950,bone-50,"oklch(0.180 0.012 220)","oklch(0.965 0.005 220)",16.98,AAA,yes,yes
sumi-950,bone-100,"oklch(0.180 0.012 220)","oklch(0.920 0.005 220)",14.84,AAA,yes,yes
sumi-950,sumi-400,"oklch(0.180 0.012 220)","oklch(0.700 0.012 220)",7.05,AAA,yes,yes
sumi-950,sumi-450,"oklch(0.180 0.012 220)","oklch(0.665 0.012 220)",6.18,AA,no,yes
sumi-950,sumi-500,"oklch(0.180 0.012 220)","oklch(0.620 0 0)",5.15,AA,no,yes
sumi-950,sumi-600,"oklch(0.180 0.012 220)","oklch(0.470 0 0)",2.75,FAIL,no,no
sumi-950,sumi-700,"oklch(0.180 0.012 220)","oklch(0.380 0 0)",1.87,FAIL,no,no
sumi-950,cream-300,"oklch(0.180 0.012 220)","oklch(0.620 0.020 85)",5.15,AA,no,yes
sumi-950,cream-50,"oklch(0.180 0.012 220)","oklch(0.985 0.013 85)",17.98,AAA,yes,yes
sumi-950,indigo-500,"oklch(0.180 0.012 220)","oklch(0.430 0.150 250)",2.30,FAIL,no,no
sumi-950,indigo-300,"oklch(0.180 0.012 220)","oklch(0.760 0.110 250)",8.79,AAA,yes,yes
sumi-950,citrus-500,"oklch(0.180 0.012 220)","oklch(0.860 0.150 105)",12.43,AAA,yes,yes
sumi-950,persimmon-600,"oklch(0.180 0.012 220)","oklch(0.520 0.180 38)",3.13,AA-large,no,no
sumi-650,ink-primary-on-cream,"oklch(0.270 0.012 220)","oklch(0.205 0.020 85)",1.19,FAIL,no,no
sumi-650,ink-secondary-on-cream,"oklch(0.270 0.012 220)","oklch(0.380 0.018 85)",1.50,FAIL,no,no
sumi-650,ink-900,"oklch(0.270 0.012 220)","oklch(0.150 0.020 85)",1.31,FAIL,no,no
sumi-650,bone-50,"oklch(0.270 0.012 220)","oklch(0.965 0.005 220)",13.59,AAA,yes,yes
sumi-650,bone-100,"oklch(0.270 0.012 220)","oklch(0.920 0.005 220)",11.87,AAA,yes,yes
sumi-650,sumi-400,"oklch(0.270 0.012 220)","oklch(0.700 0.012 220)",5.64,AA,no,yes
